game_id,date,home_team,away_team,home_team_id,away_team_id,home_pitcher_id,away_pitcher_id,home_score,away_score,home_win
778331,2025-04-13,Los Angeles Dodgers,Chicago Cubs,119,112,607192.0,607067.0,2,4,0
778321,2025-04-14,Pittsburgh Pirates,Washington Nationals,134,120,694973.0,695418.0,10,3,1
778320,2025-04-14,Philadelphia Phillies,San Francisco Giants,143,137,592836.0,694738.0,4,10,0
778328,2025-04-14,Tampa Bay Rays,Boston Red Sox,139,111,669358.0,656557.0,16,1,1
778327,2025-04-14,New York Yankees,Kansas City Royals,147,118,471911.0,607625.0,4,1,1
778322,2025-04-14,Toronto Blue Jays,Atlanta Braves,141,144,687922.0,656550.0,4,8,0
778324,2025-04-14,Minnesota Twins,New York Mets,142,121,657746.0,605280.0,1,5,0
778323,2025-04-14,Milwaukee Brewers,Detroit Tigers,158,116,641302.0,669373.0,1,9,0
778325,2025-04-14,St. Louis Cardinals,Houston Astros,138,117,543243.0,664285.0,8,3,1
778315,2025-04-14,San Diego Padres,Chicago Cubs,135,112,656302.0,592791.0,10,4,1
778326,2025-04-14,Los Angeles Dodgers,Colorado Rockies,119,115,669160.0,622608.0,5,3,1
778314,2025-04-15,Pittsburgh Pirates,Washington Nationals,134,120,656605.0,663623.0,0,3,0
778316,2025-04-15,Cincinnati Reds,Seattle Mariners,113,136,666157.0,622491.0,8,4,1
778318,2025-04-15,Miami Marlins,Arizona Diamondbacks,146,109,687362.0,518876.0,4,10,0
778313,2025-04-15,Philadelphia Phillies,San Francisco Giants,143,137,666200.0,434378.0,6,4,1
778317,2025-04-15,Baltimore Orioles,Cleveland Guardians,110,114,450203.0,671106.0,3,6,0
778319,2025-04-15,Tampa Bay Rays,Boston Red Sox,139,111,686752.0,621111.0,4,7,0
778312,2025-04-15,New York Yankees,Kansas City Royals,147,118,608331.0,608379.0,4,2,1
778311,2025-04-15,Toronto Blue Jays,Atlanta Braves,141,144,592332.0,680885.0,6,3,1
778307,2025-04-15,Minnesota Twins,New York Mets,142,121,641927.0,656731.0,6,3,1
778309,2025-04-15,Chicago White Sox,Athletics,145,133,680732.0,605488.0,3,12,0
778310,2025-04-15,Milwaukee Brewers,Detroit Tigers,158,116,682990.0,656427.0,5,0,1
778308,2025-04-15,St. Louis Cardinals,Houston Astros,138,117,607200.0,686613.0,0,2,0
778306,2025-04-15,Texas Rangers,Los Angeles Angels,140,108,641816.0,579328.0,4,0,1
778305,2025-04-15,San Diego Padres,Chicago Cubs,135,112,681190.0,684007.0,1,2,0
778302,2025-04-15,Los Angeles Dodgers,Colorado Rockies,119,115,689017.0,663372.0,6,2,1
778297,2025-04-16,Toronto Blue Jays,Atlanta Braves,141,144,605135.0,675911.0,3,1,1
778299,2025-04-16,Minnesota Twins,New York Mets,142,121,701581.0,623211.0,4,3,1
778295,2025-04-16,Milwaukee Brewers,Detroit Tigers,158,116,500779.0,672456.0,5,1,1
778290,2025-04-16,St. Louis Cardinals,Houston Astros,138,117,571927.0,669854.0,4,1,1
778288,2025-04-16,San Diego Padres,Chicago Cubs,135,112,601713.0,571510.0,4,2,1
778301,2025-04-16,Baltimore Orioles,Cleveland Guardians,110,114,665152.0,668909.0,9,1,1
778293,2025-04-16,Pittsburgh Pirates,Washington Nationals,134,120,663559.0,680730.0,6,1,1
778304,2025-04-16,Cincinnati Reds,Seattle Mariners,113,136,607259.0,682243.0,3,5,0
778303,2025-04-16,Miami Marlins,Arizona Diamondbacks,146,109,676974.0,694297.0,2,6,0
778296,2025-04-16,Philadelphia Phillies,San Francisco Giants,143,137,605400.0,592662.0,4,11,0
778298,2025-04-16,Tampa Bay Rays,Boston Red Sox,139,111,641793.0,656794.0,0,1,0
778300,2025-04-16,New York Yankees,Kansas City Royals,147,118,657376.0,663460.0,4,3,1
778294,2025-04-16,Chicago White Sox,Athletics,145,133,686563.0,674370.0,1,3,0
778289,2025-04-16,Texas Rangers,Los Angeles Angels,140,108,571578.0,667755.0,3,1,1
778287,2025-04-16,Los Angeles Dodgers,Colorado Rockies,119,115,676272.0,608566.0,8,7,1
778291,2025-04-17,Miami Marlins,Arizona Diamondbacks,146,109,665795.0,593958.0,4,6,0
778280,2025-04-17,Pittsburgh Pirates,Washington Nationals,134,120,571760.0,592866.0,1,0,1
778285,2025-04-17,Cincinnati Reds,Seattle Mariners,113,136,663903.0,676106.0,7,11,0
778283,2025-04-17,Chicago White Sox,Athletics,145,133,663436.0,676664.0,0,8,0
778279,2025-04-17,Philadelphia Phillies,San Francisco Giants,143,137,650911.0,663855.0,6,4,1
778292,2025-04-17,Baltimore Orioles,Cleveland Guardians,110,114,608372.0,676440.0,6,2,1
778286,2025-04-17,Detroit Tigers,Kansas City Royals,116,118,681857.0,547179.0,6,1,1
778282,2025-04-17,Tampa Bay Rays,New York Yankees,139,147,671737.0,701542.0,3,6,0
778278,2025-04-17,New York Mets,St. Louis Cardinals,121,138,656288.0,669467.0,4,1,1
778281,2025-04-17,Texas Rangers,Los Angeles Angels,140,108,677958.0,686799.0,5,3,1
778268,2025-04-18,Chicago Cubs,Arizona Diamondbacks,112,109,607067.0,669203.0,13,11,1
778277,2025-04-18,Detroit Tigers,Kansas City Royals,116,118,695549.0,666142.0,7,3,1
778271,2025-04-18,Pittsburgh Pirates,Cleveland Guardians,134,114,669387.0,682847.0,7,10,0
778274,2025-04-18,Philadelphia Phillies,Miami Marlins,143,146,554430.0,645261.0,7,2,1
778276,2025-04-18,Baltimore Orioles,Cincinnati Reds,110,113,700249.0,671096.0,3,8,0
778272,2025-04-18,Tampa Bay Rays,New York Yankees,139,147,656876.0,607074.0,0,1,0
778273,2025-04-18,Toronto Blue Jays,Seattle Mariners,141,136,670102.0,693433.0,3,1,1
