commence_time,home_team,away_team,bookmaker,team,price
2026-04-09T23:11:00Z,New York Mets,Arizona Diamondbacks,BetMGM,New York Mets,-160
2026-04-09T23:11:00Z,New York Mets,Arizona Diamondbacks,BetRivers,Arizona Diamondbacks,135
2026-04-09T23:11:00Z,New York Mets,Arizona Diamondbacks,BetRivers,New York Mets,-177
2026-04-09T23:11:00Z,New York Mets,Arizona Diamondbacks,BetUS,Arizona Diamondbacks,139
2026-04-09T23:11:00Z,New York Mets,Arizona Diamondbacks,BetUS,New York Mets,-156
2026-04-09T23:11:00Z,New York Mets,Arizona Diamondbacks,Bovada,Arizona Diamondbacks,139
2026-04-09T23:11:00Z,New York Mets,Arizona Diamondbacks,Bovada,New York Mets,-165
2026-04-09T23:11:00Z,New York Mets,Arizona Diamondbacks,MyBookie.ag,Arizona Diamondbacks,139
2026-04-09T23:11:00Z,New York Mets,Arizona Diamondbacks,MyBookie.ag,New York Mets,-164
2026-04-09T23:41:00Z,Kansas City Royals,Chicago White Sox,FanDuel,Chicago White Sox,150
2026-04-09T23:41:00Z,Kansas City Royals,Chicago White Sox,FanDuel,Kansas City Royals,-178
2026-04-09T23:41:00Z,Kansas City Royals,Chicago White Sox,BetOnline.ag,Chicago White Sox,160
2026-04-09T23:41:00Z,Kansas City Royals,Chicago White Sox,BetOnline.ag,Kansas City Royals,-177
2026-04-09T23:41:00Z,Kansas City Royals,Chicago White Sox,LowVig.ag,Chicago White Sox,160
2026-04-09T23:41:00Z,Kansas City Royals,Chicago White Sox,LowVig.ag,Kansas City Royals,-177
2026-04-09T23:41:00Z,Kansas City Royals,Chicago White Sox,DraftKings,Chicago White Sox,153
2026-04-09T23:41:00Z,Kansas City Royals,Chicago White Sox,DraftKings,Kansas City Royals,-186
2026-04-09T23:41:00Z,Kansas City Royals,Chicago White Sox,BetMGM,Chicago White Sox,150
2026-04-09T23:41:00Z,Kansas City Royals,Chicago White Sox,BetMGM,Kansas City Royals,-180
2026-04-09T23:41:00Z,Kansas City Royals,Chicago White Sox,BetRivers,Chicago White Sox,145
2026-04-09T23:41:00Z,Kansas City Royals,Chicago White Sox,BetRivers,Kansas City Royals,-186
2026-04-09T23:41:00Z,Kansas City Royals,Chicago White Sox,BetUS,Chicago White Sox,156
2026-04-09T23:41:00Z,Kansas City Royals,Chicago White Sox,BetUS,Kansas City Royals,-177
2026-04-09T23:41:00Z,Kansas City Royals,Chicago White Sox,Bovada,Chicago White Sox,154
2026-04-09T23:41:00Z,Kansas City Royals,Chicago White Sox,Bovada,Kansas City Royals,-186
2026-04-09T23:41:00Z,Kansas City Royals,Chicago White Sox,MyBookie.ag,Chicago White Sox,153
2026-04-09T23:41:00Z,Kansas City Royals,Chicago White Sox,MyBookie.ag,Kansas City Royals,-182
2026-04-10T01:41:00Z,San Diego Padres,Colorado Rockies,FanDuel,Colorado Rockies,168
2026-04-10T01:41:00Z,San Diego Padres,Colorado Rockies,FanDuel,San Diego Padres,-200
2026-04-10T01:41:00Z,San Diego Padres,Colorado Rockies,DraftKings,Colorado Rockies,163
2026-04-10T01:41:00Z,San Diego Padres,Colorado Rockies,DraftKings,San Diego Padres,-199
2026-04-10T01:41:00Z,San Diego Padres,Colorado Rockies,BetRivers,Colorado Rockies,170
2026-04-10T01:41:00Z,San Diego Padres,Colorado Rockies,BetRivers,San Diego Padres,-230
2026-04-10T01:41:00Z,San Diego Padres,Colorado Rockies,BetMGM,Colorado Rockies,155
2026-04-10T01:41:00Z,San Diego Padres,Colorado Rockies,BetMGM,San Diego Padres,-190
2026-04-10T01:41:00Z,San Diego Padres,Colorado Rockies,BetOnline.ag,Colorado Rockies,168
2026-04-10T01:41:00Z,San Diego Padres,Colorado Rockies,BetOnline.ag,San Diego Padres,-186
2026-04-10T01:41:00Z,San Diego Padres,Colorado Rockies,LowVig.ag,Colorado Rockies,168
2026-04-10T01:41:00Z,San Diego Padres,Colorado Rockies,LowVig.ag,San Diego Padres,-186
2026-04-10T01:41:00Z,San Diego Padres,Colorado Rockies,Bovada,Colorado Rockies,163
2026-04-10T01:41:00Z,San Diego Padres,Colorado Rockies,Bovada,San Diego Padres,-198
2026-04-10T01:41:00Z,San Diego Padres,Colorado Rockies,BetUS,Colorado Rockies,162
2026-04-10T01:41:00Z,San Diego Padres,Colorado Rockies,BetUS,San Diego Padres,-185
2026-04-10T01:41:00Z,San Diego Padres,Colorado Rockies,MyBookie.ag,Colorado Rockies,166
2026-04-10T01:41:00Z,San Diego Padres,Colorado Rockies,MyBookie.ag,San Diego Padres,-196
